cuadro,vital_event,dim1_name,dim1_value,dim2_name,dim2_value,value,anomaly,sex
2.6,death,geography,Espaillat,deceased_age_band,Menos de un ano,11,,both
2.6,death,geography,Espaillat,deceased_age_band,1-4,3,,both
2.6,death,geography,Espaillat,deceased_age_band,5-9,4,,both
2.6,death,geography,Espaillat,deceased_age_band,10-14,1,,both
2.6,death,geography,Espaillat,deceased_age_band,15-19,12,,both
2.6,death,geography,Espaillat,deceased_age_band,20-24,19,,both
2.6,death,geography,Espaillat,deceased_age_band,25-29,27,,both
2.6,death,geography,Espaillat,deceased_age_band,30-34,22,,both
2.6,death,geography,Espaillat,deceased_age_band,35-39,32,,both
2.6,death,geography,Espaillat,deceased_age_band,40-44,41,,both
2.6,death,geography,Espaillat,deceased_age_band,45-49,49,,both
2.6,death,geography,Espaillat,deceased_age_band,50-54,62,,both
2.6,death,geography,Espaillat,deceased_age_band,55-59,92,,both
2.6,death,geography,Espaillat,deceased_age_band,60-64,89,,both
2.6,death,geography,Espaillat,deceased_age_band,65-69,105,,both
2.6,death,geography,Espaillat,deceased_age_band,70-74,126,,both
2.6,death,geography,Espaillat,deceased_age_band,75-79,150,,both
2.6,death,geography,Espaillat,deceased_age_band,80-84,145,,both
2.6,death,geography,Espaillat,deceased_age_band,85 y mas,306,,both
2.6,death,geography,Espaillat,deceased_age_band,No declarada,7,,both
2.6,death,geography,Puerto Plata,deceased_age_band,TOTAL,1637,,both
2.6,death,geography,Puerto Plata,deceased_age_band,Menos de un ano,12,,both
2.6,death,geography,Puerto Plata,deceased_age_band,1-4,2,,both
2.6,death,geography,Puerto Plata,deceased_age_band,5-9,2,,both
2.6,death,geography,Puerto Plata,deceased_age_band,10-14,4,,both
2.6,death,geography,Puerto Plata,deceased_age_band,15-19,21,,both
2.6,death,geography,Puerto Plata,deceased_age_band,20-24,29,,both
2.6,death,geography,Puerto Plata,deceased_age_band,25-29,25,,both
2.6,death,geography,Puerto Plata,deceased_age_band,30-34,36,,both
2.6,death,geography,Puerto Plata,deceased_age_band,35-39,44,,both
2.6,death,geography,Puerto Plata,deceased_age_band,40-44,42,,both
2.6,death,geography,Puerto Plata,deceased_age_band,45-49,49,,both
2.6,death,geography,Puerto Plata,deceased_age_band,50-54,72,,both
2.6,death,geography,Puerto Plata,deceased_age_band,55-59,107,,both
2.6,death,geography,Puerto Plata,deceased_age_band,60-64,128,,both
2.6,death,geography,Puerto Plata,deceased_age_band,65-69,154,,both
2.6,death,geography,Puerto Plata,deceased_age_band,70-74,171,,both
2.6,death,geography,Puerto Plata,deceased_age_band,75-79,189,,both
2.6,death,geography,Puerto Plata,deceased_age_band,80-84,178,,both
2.6,death,geography,Puerto Plata,deceased_age_band,85 y mas,366,,both
2.6,death,geography,Puerto Plata,deceased_age_band,No declarada,6,,both
2.6,death,geography,Santiago,deceased_age_band,TOTAL,4602,,both
2.6,death,geography,Santiago,deceased_age_band,Menos de un ano,97,,both
2.6,death,geography,Santiago,deceased_age_band,1-4,13,,both
2.6,death,geography,Santiago,deceased_age_band,5-9,12,,both
2.6,death,geography,Santiago,deceased_age_band,10-14,18,,both
2.6,death,geography,Santiago,deceased_age_band,15-19,37,,both
2.6,death,geography,Santiago,deceased_age_band,20-24,81,,both
2.6,death,geography,Santiago,deceased_age_band,25-29,95,,both
2.6,death,geography,Santiago,deceased_age_band,30-34,99,,both
2.6,death,geography,Santiago,deceased_age_band,35-39,99,,both
2.6,death,geography,Santiago,deceased_age_band,40-44,125,,both
2.6,death,geography,Santiago,deceased_age_band,45-49,152,,both
2.6,death,geography,Santiago,deceased_age_band,50-54,236,,both
2.6,death,geography,Santiago,deceased_age_band,55-59,287,,both
2.6,death,geography,Santiago,deceased_age_band,60-64,390,,both
2.6,death,geography,Santiago,deceased_age_band,65-69,407,,both
2.6,death,geography,Santiago,deceased_age_band,70-74,487,,both
2.6,death,geography,Santiago,deceased_age_band,75-79,508,,both
2.6,death,geography,Santiago,deceased_age_band,80-84,466,,both
2.6,death,geography,Santiago,deceased_age_band,85 y mas,979,,both
2.6,death,geography,Santiago,deceased_age_band,No declarada,14,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,TOTAL,3823,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,Menos de un ano,55,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,1-4,14,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,5-9,8,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,10-14,7,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,15-19,36,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,20-24,65,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,25-29,88,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,30-34,75,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,35-39,82,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,40-44,121,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,45-49,138,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,50-54,196,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,55-59,248,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,60-64,295,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,65-69,388,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,70-74,413,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,75-79,440,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,80-84,355,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,85 y mas,785,,both
2.6,death,geography,Región Cibao Sur,deceased_age_band,No declarada,14,,both
2.6,death,geography,La Vega,deceased_age_band,TOTAL,1994,,both
2.6,death,geography,La Vega,deceased_age_band,Menos de un ano,27,,both
2.6,death,geography,La Vega,deceased_age_band,1-4,8,,both
2.6,death,geography,La Vega,deceased_age_band,5-9,3,,both
2.6,death,geography,La Vega,deceased_age_band,10-14,3,,both
2.6,death,geography,La Vega,deceased_age_band,15-19,14,,both
2.6,death,geography,La Vega,deceased_age_band,20-24,29,,both
2.6,death,geography,La Vega,deceased_age_band,25-29,51,,both
2.6,death,geography,La Vega,deceased_age_band,30-34,44,,both
2.6,death,geography,La Vega,deceased_age_band,35-39,37,,both
2.6,death,geography,La Vega,deceased_age_band,40-44,65,,both
2.6,death,geography,La Vega,deceased_age_band,45-49,77,,both
2.6,death,geography,La Vega,deceased_age_band,50-54,102,,both
2.6,death,geography,La Vega,deceased_age_band,55-59,123,,both
2.6,death,geography,La Vega,deceased_age_band,60-64,159,,both
2.6,death,geography,La Vega,deceased_age_band,65-69,197,,both
2.6,death,geography,La Vega,deceased_age_band,70-74,216,,both
2.6,death,geography,La Vega,deceased_age_band,75-79,214,,both
2.6,death,geography,La Vega,deceased_age_band,80-84,191,,both
2.6,death,geography,La Vega,deceased_age_band,85 y mas,429,,both
2.6,death,geography,La Vega,deceased_age_band,No declarada,5,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,TOTAL,724,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,Menos de un ano,15,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,1-4,1,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,5-9,3,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,10-14,2,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,15-19,8,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,20-24,15,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,25-29,13,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,30-34,14,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,35-39,14,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,40-44,23,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,45-49,22,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,50-54,34,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,55-59,52,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,60-64,43,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,65-69,93,,both
2.6,death,geography,Sánchez Ramírez,deceased_age_band,70-74,71,,both
